SequenceID,Realm (-viria),Realm_score,Subrealm (-vira),Subrealm_score,Kingdom (-virae),Kingdom_score,Subkingdom (-virites),Subkingdom_score,Phylum (-viricota),Phylum_score,Subphylum (-viricotina),Subphylum_score,Class (-viricetes),Class_score,Subclass (-viricetidae),Subclass_score,Order (-virales),Order_score,Suborder (-virineae),Suborder_score,Family (-viridae),Family_score,Subfamily (-virinae),Subfamily_score,Genus,Genus_score,Subgenus (-virus),Subgenus_score,Species (binomial),Species_score
ICTVTaxoChallenge_578258,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus macroptilifloridaense,0.8715
ICTVTaxoChallenge_578825,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus glycinevariati,0.8871
ICTVTaxoChallenge_578980,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Zurhausenvirales,NA,NA,NA,Papillomaviridae,NA,Firstpapillomavirinae,,Alphapapillomavirus,NA,NA,NA,Alphapapillomavirus 14,0.9867
ICTVTaxoChallenge_579720,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Paramyxoviridae,NA,Rubulavirinae,,Orthorubulavirus,0.3655,NA,NA,NA,NA
ICTVTaxoChallenge_580110,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Capulavirus,NA,NA,NA,Capulavirus medicagonis,1
ICTVTaxoChallenge_58043,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Peploviricota,NA,NA,NA,Herviviricetes,NA,NA,NA,Herpesvirales,NA,NA,NA,Orthoherpesviridae,NA,Gammaherpesvirinae,NA,Lymphocryptovirus,NA,NA,NA,Lymphocryptovirus humangamma4,0.9968
ICTVTaxoChallenge_581033,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus cucurbitayunnanense,0.8588
ICTVTaxoChallenge_581339,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus malvastrumlahorense,1
ICTVTaxoChallenge_581573,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Alpharhabdovirinae,NA,Tupavirus,0.6739,NA,NA,NA,NA
ICTVTaxoChallenge_581588,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Nidovirales,NA,Cornidovirineae,NA,Coronaviridae,NA,NA,NA,Betacoronavirus,NA,NA,NA,Betacoronavirus cororeum,0.9945
ICTVTaxoChallenge_58200,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus spilanthis,1
ICTVTaxoChallenge_582196,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus capsicumthailandense,1
ICTVTaxoChallenge_582379,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Nidovirales,NA,Arnidovirineae,NA,Arteriviridae,NA,NA,NA,Betaarterivirus,NA,NA,NA,Betaarterivirus americense,0.9831
ICTVTaxoChallenge_582797,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Stelpaviricetes,NA,NA,NA,Patatavirales,NA,NA,NA,Potyviridae,NA,NA,NA,Potyvirus,NA,NA,NA,Potyvirus arracachae,0.9974
ICTVTaxoChallenge_582826,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus merremiae,0.8726
ICTVTaxoChallenge_583158,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Stelpaviricetes,NA,NA,NA,Patatavirales,NA,NA,NA,Potyviridae,NA,NA,NA,Potyvirus,NA,NA,NA,Potyvirus arachidis,1
ICTVTaxoChallenge_583466,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus asystasiae,1
ICTVTaxoChallenge_584062,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Nucleocytoviricota,NA,NA,NA,Megaviricetes,NA,NA,NA,Pimascovirales,NA,NA,NA,Iridoviridae,NA,Alphairidovirinae,,Ranavirus,NA,NA,NA,Ranavirus perca1,0.8627
ICTVTaxoChallenge_584159,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,0.2619,NA,NA,NA,NA
ICTVTaxoChallenge_584177,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus cucurbitatenuis,0.8795
ICTVTaxoChallenge_584214,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,0.2588,NA,NA,NA,NA
ICTVTaxoChallenge_584410,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Quintoviricetes,NA,NA,NA,Piccovirales,NA,NA,NA,Parvoviridae,NA,Parvovirinae,,Aveparvovirus,NA,NA,NA,Aveparvovirus gruiform1,1
ICTVTaxoChallenge_585391,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus cucumisflavi,1
ICTVTaxoChallenge_585536,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus solanumflavusmaculae,1
ICTVTaxoChallenge_585587,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Zurhausenvirales,NA,NA,NA,Papillomaviridae,NA,Firstpapillomavirinae,,Gammapapillomavirus,NA,NA,NA,Gammapapillomavirus 4,0.9936
ICTVTaxoChallenge_586471,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Flasuviricetes,NA,NA,NA,Amarillovirales,NA,NA,NA,Flaviviridae,NA,NA,NA,Hepacivirus,NA,NA,NA,Hepacivirus hominis,0.7193
ICTVTaxoChallenge_586563,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Arfiviricetes,NA,NA,NA,Cirlivirales,NA,NA,NA,Circoviridae,NA,NA,NA,Circovirus,0.6375,NA,NA,NA,NA
ICTVTaxoChallenge_58675,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Nucleocytoviricota,NA,NA,NA,Pokkesviricetes,NA,NA,NA,Chitovirales,NA,NA,NA,Poxviridae,NA,Chordopoxvirinae,,Leporipoxvirus,NA,NA,NA,Leporipoxvirus shope,0.9968
ICTVTaxoChallenge_587004,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Betarhabdovirinae,NA,Cytorhabdovirus,0.7043,NA,NA,NA,NA
ICTVTaxoChallenge_587293,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Tolucaviricetes,NA,NA,NA,Tolivirales,NA,NA,NA,Tombusviridae,NA,Procedovirinae,NA,Alphacarmovirus,0.6414,NA,NA,NA,NA
ICTVTaxoChallenge_587480,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Betarhabdovirinae,NA,Varicosavirus,0.7866,NA,NA,NA,NA
ICTVTaxoChallenge_587603,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Mastrevirus,0.4821,NA,NA,NA,NA
ICTVTaxoChallenge_587728,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Betarhabdovirinae,NA,Cytorhabdovirus,NA,NA,NA,Cytorhabdovirus oryzae,0.979
ICTVTaxoChallenge_587834,Monodnaviria,NA,NA,NA,Loebvirae,NA,NA,NA,Hofneiviricota,NA,NA,NA,Faserviricetes,NA,NA,NA,Tubulavirales,NA,NA,NA,Inoviridae,NA,NA,NA,Coriovirus,NA,NA,NA,Coriovirus Cf1c,0.9971
ICTVTaxoChallenge_588004,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus eupatorii,1
ICTVTaxoChallenge_588119,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Mastrevirus,NA,NA,NA,Mastrevirus tritici,1
ICTVTaxoChallenge_588212,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus solanumlapazense,0.8963
ICTVTaxoChallenge_588537,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Stelpaviricetes,NA,NA,NA,Patatavirales,NA,NA,NA,Potyviridae,NA,NA,NA,Potyvirus,NA,NA,NA,Potyvirus telosmae,1
ICTVTaxoChallenge_588704,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Preplasmiviricota,NA,NA,NA,Tectiliviricetes,NA,NA,NA,Rowavirales,NA,NA,NA,Adenoviridae,NA,NA,NA,Barthadenovirus,NA,NA,NA,Barthadenovirus ovis,0.9243
ICTVTaxoChallenge_588906,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus solanumliwaense,1
ICTVTaxoChallenge_589493,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Zurhausenvirales,NA,NA,NA,Papillomaviridae,NA,Firstpapillomavirinae,,Alphapapillomavirus,NA,NA,NA,Alphapapillomavirus 4,0.993
ICTVTaxoChallenge_589581,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Nidovirales,NA,Arnidovirineae,NA,Arteriviridae,NA,NA,NA,Betaarterivirus,0.4293,NA,NA,NA,NA
ICTVTaxoChallenge_5896,Monodnaviria,NA,NA,NA,Loebvirae,NA,NA,NA,Hofneiviricota,NA,NA,NA,Faserviricetes,NA,NA,NA,Tubulavirales,NA,NA,NA,Inoviridae,NA,NA,NA,Versovirus,NA,NA,NA,Versovirus VfO3K6,0.9119
ICTVTaxoChallenge_589612,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus solanumflavusthailandense,0.698
ICTVTaxoChallenge_590222,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Nidovirales,NA,Cornidovirineae,NA,Coronaviridae,NA,NA,NA,Betacoronavirus,NA,NA,NA,Betacoronavirus rousetti,0.6169
ICTVTaxoChallenge_590662,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus siegesbeckiaguangxiense,1
ICTVTaxoChallenge_5909,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Nidovirales,NA,Cornidovirineae,NA,Coronaviridae,NA,NA,NA,Alphacoronavirus,NA,NA,NA,Alphacoronavirus nyctali,0.6644
ICTVTaxoChallenge_591192,Monodnaviria,NA,NA,NA,Loebvirae,NA,NA,NA,Hofneiviricota,NA,NA,NA,Faserviricetes,NA,NA,NA,Tubulavirales,NA,NA,NA,Inoviridae,NA,NA,NA,Inovirus,NA,NA,NA,Inovirus M13,0.9961
ICTVTaxoChallenge_591457,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Betarhabdovirinae,NA,Dichorhavirus,0.8176,NA,NA,NA,NA
ICTVTaxoChallenge_591703,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Stelpaviricetes,NA,NA,NA,Patatavirales,NA,NA,NA,Potyviridae,NA,NA,NA,Potyvirus,NA,NA,NA,Potyvirus gebatatae,0.9976
ICTVTaxoChallenge_591911,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Sepolyvirales,NA,NA,NA,Polyomaviridae,NA,NA,NA,Betapolyomavirus,NA,NA,NA,Betapolyomavirus mastomysis,0.9999
ICTVTaxoChallenge_592272,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Sepolyvirales,NA,NA,NA,Polyomaviridae,NA,NA,NA,Betapolyomavirus,NA,NA,NA,Betapolyomavirus equi,0.9714
ICTVTaxoChallenge_592529,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Alsuviricetes,NA,NA,NA,Tymovirales,NA,NA,NA,Alphaflexiviridae,NA,NA,NA,Potexvirus,NA,NA,NA,Potexvirus ecshostae,0.9547
ICTVTaxoChallenge_592645,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Quintoviricetes,NA,NA,NA,Piccovirales,NA,NA,NA,Parvoviridae,NA,Hamaparvovirinae,,Chaphamaparvovirus,0.5554,NA,NA,NA,NA
ICTVTaxoChallenge_592769,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Alsuviricetes,NA,NA,NA,Tymovirales,NA,NA,NA,Alphaflexiviridae,NA,NA,NA,Potexvirus,NA,NA,NA,Potexvirus ecstulipae,1
ICTVTaxoChallenge_592950,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Preplasmiviricota,NA,NA,NA,Tectiliviricetes,NA,NA,NA,Kalamavirales,NA,NA,NA,Tectiviridae,NA,NA,NA,Betatectivirus,0.5618,NA,NA,NA,NA
ICTVTaxoChallenge_593185,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Betarhabdovirinae,NA,Dichorhavirus,0.6373,NA,NA,NA,NA
ICTVTaxoChallenge_593363,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Nucleocytoviricota,NA,NA,NA,Megaviricetes,NA,NA,NA,Pimascovirales,NA,NA,NA,Iridoviridae,NA,Betairidovirinae,,Chloriridovirus,NA,NA,NA,Chloriridovirus aedes1,1
ICTVTaxoChallenge_593623,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus abelmoschusdehliense,1
ICTVTaxoChallenge_594407,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Flasuviricetes,NA,NA,NA,Amarillovirales,NA,NA,NA,Flaviviridae,NA,NA,NA,Hepacivirus,0.3756,NA,NA,NA,NA
ICTVTaxoChallenge_594792,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus abelsmoschusmaculae,0.8635
ICTVTaxoChallenge_595215,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Sepolyvirales,NA,NA,NA,Polyomaviridae,NA,NA,NA,Betapolyomavirus,NA,NA,NA,Betapolyomavirus lepweddellii,0.9142
ICTVTaxoChallenge_595440,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus sidaflavavietnamense,0.8233
ICTVTaxoChallenge_595441,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Nidovirales,NA,Cornidovirineae,NA,Coronaviridae,NA,NA,NA,Alphacoronavirus,NA,NA,NA,Alphacoronavirus chicagoense,1
ICTVTaxoChallenge_595505,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Arfiviricetes,NA,NA,NA,Cirlivirales,NA,NA,NA,Circoviridae,NA,NA,NA,Cyclovirus,NA,NA,NA,Cyclovirus gato,0.8256
ICTVTaxoChallenge_595948,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus mestae,1
ICTVTaxoChallenge_596154,Varidnaviria,NA,NA,NA,Bamfordvirae,NA,NA,NA,Nucleocytoviricota,NA,NA,NA,Megaviricetes,NA,NA,NA,Imitervirales,NA,NA,NA,Mimiviridae,NA,Megamimivirinae,,Mimivirus,0.2598,NA,NA,NA,NA
ICTVTaxoChallenge_59626,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Arfiviricetes,NA,NA,NA,Cirlivirales,NA,NA,NA,Circoviridae,NA,NA,NA,Circovirus,0.6087,NA,NA,NA,NA
ICTVTaxoChallenge_596374,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus coheni,1
ICTVTaxoChallenge_596647,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Nidovirales,NA,Cornidovirineae,NA,Coronaviridae,NA,NA,NA,Betacoronavirus,NA,NA,NA,Betacoronavirus rousetti,0.9941
ICTVTaxoChallenge_596847,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus sidapallivariati,0.8681
ICTVTaxoChallenge_597411,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,0.2474,NA,NA,NA,NA
ICTVTaxoChallenge_597566,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Kitrinoviricota,NA,NA,NA,Alsuviricetes,NA,NA,NA,Tymovirales,NA,NA,NA,Alphaflexiviridae,NA,NA,NA,Allexivirus,NA,NA,NA,Allexivirus sigmamedicagonis,0.7632
ICTVTaxoChallenge_597668,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Sepolyvirales,NA,NA,NA,Polyomaviridae,NA,NA,NA,Alphapolyomavirus,NA,NA,NA,Alphapolyomavirus omartiensseni,0.9993
ICTVTaxoChallenge_598630,Riboviria,NA,NA,NA,Pararnavirae,NA,NA,NA,Artverviricota,NA,NA,NA,Revtraviricetes,NA,NA,NA,Ortervirales,NA,NA,NA,Caulimoviridae,NA,NA,NA,Badnavirus,0.2722,NA,NA,NA,NA
ICTVTaxoChallenge_598932,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Zurhausenvirales,NA,NA,NA,Papillomaviridae,NA,Firstpapillomavirinae,,Gammapapillomavirus,NA,NA,NA,Gammapapillomavirus 15,0.9951
ICTVTaxoChallenge_598984,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,0.2313,NA,NA,NA,NA
ICTVTaxoChallenge_5995,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,0.3007,NA,NA,NA,NA
ICTVTaxoChallenge_60041,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Zurhausenvirales,NA,NA,NA,Papillomaviridae,NA,Firstpapillomavirinae,,Mupapillomavirus,NA,NA,NA,Mupapillomavirus 1,1
ICTVTaxoChallenge_600418,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Zurhausenvirales,NA,NA,NA,Papillomaviridae,NA,Firstpapillomavirinae,,Treisetapapillomavirus,NA,NA,NA,Treisetapapillomavirus 1,0.9954
ICTVTaxoChallenge_600653,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Rhabdoviridae,NA,Betarhabdovirinae,NA,Varicosavirus,0.6524,NA,NA,NA,NA
ICTVTaxoChallenge_600717,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Negarnaviricota,NA,Haploviricotina,,Monjiviricetes,NA,NA,NA,Mononegavirales,NA,NA,NA,Paramyxoviridae,NA,Avulavirinae,,Orthoavulavirus,0.5859,NA,NA,NA,NA
ICTVTaxoChallenge_601245,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Pisoniviricetes,NA,NA,NA,Nidovirales,NA,Cornidovirineae,NA,Coronaviridae,NA,NA,NA,Alphacoronavirus,NA,NA,NA,Alphacoronavirus suis,0.9973
ICTVTaxoChallenge_60132,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Quintoviricetes,NA,NA,NA,Piccovirales,NA,NA,NA,Parvoviridae,NA,Parvovirinae,,Amdoparvovirus,NA,NA,NA,Amdoparvovirus sp. + NO,1
ICTVTaxoChallenge_60183,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cressdnaviricota,NA,NA,NA,Repensiviricetes,NA,NA,NA,Geplafuvirales,NA,NA,NA,Geminiviridae,NA,NA,NA,Begomovirus,NA,NA,NA,Begomovirus cucurbitachinaense,0.68
ICTVTaxoChallenge_601968,Monodnaviria,NA,NA,NA,Shotokuvirae,NA,NA,NA,Cossaviricota,NA,NA,NA,Papovaviricetes,NA,NA,NA,Sepolyvirales,NA,NA,NA,Polyomaviridae,NA,NA,NA,Alphapolyomavirus,NA,NA,NA,Alphapolyomavirus sextipanos,0.9996
ICTVTaxoChallenge_602175,Riboviria,NA,NA,NA,Orthornavirae,NA,NA,NA,Pisuviricota,NA,NA,NA,Stelpaviricetes,NA,NA,NA,Patatavirales,NA,NA,NA,Potyviridae,NA,NA,NA,Potyvirus,NA,NA,NA,Potyvirus verbenae,1
ICTVTaxoChallenge_602281,Monodnaviria,NA,NA,NA,Loebvirae,NA,NA,NA,Hofneiviricota,NA,NA,NA,Faserviricetes,NA,NA,NA,Tubulavirales,NA,NA,NA,Inoviridae,NA,NA,NA,Restivirus,NA,NA,NA,Restivirus RSS1,0.913
