SequenceID,Realm (-viria),Realm_score,Subrealm (-vira),Subrealm_score,Kingdom (-virae),Kingdom_score,Subkingdom (-virites),Subkingdom_score,Phylum (-viricota),Phylum_score,Subphylum (-viricotina),Subphylum_score,Class (-viricetes),Class_score,Subclass (-viricetidae),Subclass_score,Order (-virales),Order_score,Suborder (-virineae),Suborder_score,Family (-viridae),Family_score,Subfamily (-virinae),Subfamily_score,Genus (-virus),Genus_score,Subgenus (-virus),Subgenus_score,Species (binomial),Species_score
ICTVTaxoChallenge_448531,,,,,,,,,,,,,,,,,,,,,,,,,Bertelyvirus,0.6847,,,,
ICTVTaxoChallenge_454469,,,,,,,,,,,,,,,,,,,,,,,,,Lastavirus,0.9569,,,,
ICTVTaxoChallenge_748769,,,,,,,,,,,,,,,,,,,,,,,,,Manhattanvirus,0.5453,,,,
ICTVTaxoChallenge_753314,,,,,,,,,,,,,,,,,,,,,,,,,Scapunavirus,0.9667,,,,
ICTVTaxoChallenge_754178,,,,,,,,,,,,,,,,,,,,,,,,,Skunavirus,0.9676,,,,
ICTVTaxoChallenge_759434,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.6899,,,,
ICTVTaxoChallenge_761087,,,,,,,,,,,,,,,,,,,,,,,,,Gamaleyavirus,0.7001,,,,
ICTVTaxoChallenge_763642,,,,,,,,,,,,,,,,,,,,,,,,,Buchavirus,0.9678,,,,
ICTVTaxoChallenge_763647,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7223,,,,
ICTVTaxoChallenge_766377,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7105,,,,
ICTVTaxoChallenge_766705,,,,,,,,,,,,,,,,,,,,,,,,,Colunavirus,0.9659,,,,
ICTVTaxoChallenge_663385,,,,,,,,,,,,,,,,,,,,,,,,,Biseptimavirus,0.9584,,,,
ICTVTaxoChallenge_666085,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.725,,,,
ICTVTaxoChallenge_66611,,,,,,,,,,,,,,,,,,,,,,,,,Nymphadoravirus,0.9056,,,,
ICTVTaxoChallenge_670042,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7363,,,,
ICTVTaxoChallenge_670960,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7614,,,,
ICTVTaxoChallenge_671115,,,,,,,,,,,,,,,,,,,,,,,,,Kuravirus,0.8581,,,,
ICTVTaxoChallenge_674766,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6909,,,,
ICTVTaxoChallenge_675940,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.6425,,,,
ICTVTaxoChallenge_676200,,,,,,,,,,,,,,,,,,,,,,,,,Pahexavirus,0.968,,,,
ICTVTaxoChallenge_282185,,,,,,,,,,,,,,,,,,,,,,,,,Dubowvirus,0.9509,,,,
ICTVTaxoChallenge_285488,,,,,,,,,,,,,,,,,,,,,,,,,Kuravirus,0.8829,,,,
ICTVTaxoChallenge_287924,,,,,,,,,,,,,,,,,,,,,,,,,Warwickvirus,0.9709,,,,
ICTVTaxoChallenge_29825,,,,,,,,,,,,,,,,,,,,,,,,,Friunavirus,0.9571,,,,
ICTVTaxoChallenge_298904,,,,,,,,,,,,,,,,,,,,,,,,,Kanagawavirus,0.854,,,,
ICTVTaxoChallenge_302887,,,,,,,,,,,,,,,,,,,,,,,,,Andhravirus,0.9226,,,,
ICTVTaxoChallenge_392803,,,,,,,,,,,,,,,,,,,,,,,,,Brucesealvirus,0.9407,,,,
ICTVTaxoChallenge_401405,,,,,,,,,,,,,,,,,,,,,,,,,Baxtervirus,0.608,,,,
ICTVTaxoChallenge_404639,,,,,,,,,,,,,,,,,,,,,,,,,Zicotriavirus,0.9706,,,,
ICTVTaxoChallenge_405865,,,,,,,,,,,,,,,,,,,,,,,,,Polybotosvirus,0.5379,,,,
ICTVTaxoChallenge_411956,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6795,,,,
ICTVTaxoChallenge_68431,,,,,,,,,,,,,,,,,,,,,,,,,Petsuvirus,0.623,,,,
ICTVTaxoChallenge_69238,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7403,,,,
ICTVTaxoChallenge_696267,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.5479,,,,
ICTVTaxoChallenge_696960,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6641,,,,
ICTVTaxoChallenge_704171,,,,,,,,,,,,,,,,,,,,,,,,,Whiteheadvirus,0.9642,,,,
ICTVTaxoChallenge_706002,,,,,,,,,,,,,,,,,,,,,,,,,Ahphunavirus,0.9679,,,,
ICTVTaxoChallenge_816323,,,,,,,,,,,,,,,,,,,,,,,,,Skatevirus,0.6701,,,,
ICTVTaxoChallenge_817009,,,,,,,,,,,,,,,,,,,,,,,,,Polybotosvirus,0.5481,,,,
ICTVTaxoChallenge_824220,,,,,,,,,,,,,,,,,,,,,,,,,Phifelvirus,0.9639,,,,
ICTVTaxoChallenge_826521,,,,,,,,,,,,,,,,,,,,,,,,,Mudcatvirus,0.6815,,,,
ICTVTaxoChallenge_827126,,,,,,,,,,,,,,,,,,,,,,,,,Gegavirus,0.9688,,,,
ICTVTaxoChallenge_828217,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6399,,,,
ICTVTaxoChallenge_830516,,,,,,,,,,,,,,,,,,,,,,,,,Donellivirus,0.5352,,,,
ICTVTaxoChallenge_831283,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7354,,,,
ICTVTaxoChallenge_793680,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7699,,,,
ICTVTaxoChallenge_793685,,,,,,,,,,,,,,,,,,,,,,,,,Rockefellervirus,0.9518,,,,
ICTVTaxoChallenge_793856,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.578,,,,
ICTVTaxoChallenge_794036,,,,,,,,,,,,,,,,,,,,,,,,,Nymphadoravirus,0.5815,,,,
ICTVTaxoChallenge_794624,,,,,,,,,,,,,,,,,,,,,,,,,Coventryvirus,0.922,,,,
ICTVTaxoChallenge_797634,,,,,,,,,,,,,,,,,,,,,,,,,Peduovirus,0.7895,,,,
ICTVTaxoChallenge_799216,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.5842,,,,
ICTVTaxoChallenge_804515,,,,,,,,,,,,,,,,,,,,,,,,,Kakivirus,0.9641,,,,
ICTVTaxoChallenge_805064,,,,,,,,,,,,,,,,,,,,,,,,,Lederbergvirus,0.9623,,,,
ICTVTaxoChallenge_807847,,,,,,,,,,,,,,,,,,,,,,,,,Cbunavirus,0.7464,,,,
ICTVTaxoChallenge_548276,,,,,,,,,,,,,,,,,,,,,,,,,Petsuvirus,0.5401,,,,
ICTVTaxoChallenge_553163,,,,,,,,,,,,,,,,,,,,,,,,,Privateervirus,0.8956,,,,
ICTVTaxoChallenge_558769,,,,,,,,,,,,,,,,,,,,,,,,,Mudcatvirus,0.7789,,,,
ICTVTaxoChallenge_559884,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6197,,,,
ICTVTaxoChallenge_56117,,,,,,,,,,,,,,,,,,,,,,,,,Wilnyevirus,0.5153,,,,
ICTVTaxoChallenge_561999,,,,,,,,,,,,,,,,,,,,,,,,,Yongloolinvirus,0.9671,,,,
ICTVTaxoChallenge_564350,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7566,,,,
ICTVTaxoChallenge_567949,,,,,,,,,,,,,,,,,,,,,,,,,Cinunavirus,0.9656,,,,
ICTVTaxoChallenge_178326,,,,,,,,,,,,,,,,,,,,,,,,,Biseptimavirus,0.9659,,,,
ICTVTaxoChallenge_179636,,,,,,,,,,,,,,,,,,,,,,,,,Mudcatvirus,0.7304,,,,
ICTVTaxoChallenge_185662,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6156,,,,
ICTVTaxoChallenge_187081,,,,,,,,,,,,,,,,,,,,,,,,,Sasquatchvirus,0.5561,,,,
ICTVTaxoChallenge_188153,,,,,,,,,,,,,,,,,,,,,,,,,Alexandravirus,0.6496,,,,
ICTVTaxoChallenge_190125,,,,,,,,,,,,,,,,,,,,,,,,,Pokkenvirus,0.6184,,,,
ICTVTaxoChallenge_190700,,,,,,,,,,,,,,,,,,,,,,,,,Pahexavirus,0.9545,,,,
ICTVTaxoChallenge_191976,,,,,,,,,,,,,,,,,,,,,,,,,Casadabanvirus,0.8896,,,,
ICTVTaxoChallenge_194190,,,,,,,,,,,,,,,,,,,,,,,,,,0.3615,,,,
ICTVTaxoChallenge_19616,,,,,,,,,,,,,,,,,,,,,,,,,Lenusvirus,0.9574,,,,
ICTVTaxoChallenge_457315,,,,,,,,,,,,,,,,,,,,,,,,,Cimpunavirus,0.9475,,,,
ICTVTaxoChallenge_465269,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.628,,,,
ICTVTaxoChallenge_466273,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6442,,,,
ICTVTaxoChallenge_467722,,,,,,,,,,,,,,,,,,,,,,,,,Pleetrevirus,0.9522,,,,
ICTVTaxoChallenge_468564,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.5284,,,,
ICTVTaxoChallenge_472475,,,,,,,,,,,,,,,,,,,,,,,,,Elemovirus,0.9168,,,,
ICTVTaxoChallenge_47371,,,,,,,,,,,,,,,,,,,,,,,,,Alexandravirus,0.6808,,,,
ICTVTaxoChallenge_47537,,,,,,,,,,,,,,,,,,,,,,,,,Homburgvirus,0.9693,,,,
ICTVTaxoChallenge_477046,,,,,,,,,,,,,,,,,,,,,,,,,Cheoctovirus,0.9674,,,,
ICTVTaxoChallenge_478545,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.6029,,,,
ICTVTaxoChallenge_864732,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.5545,,,,
ICTVTaxoChallenge_869447,,,,,,,,,,,,,,,,,,,,,,,,,Vimunumvirus,0.9648,,,,
ICTVTaxoChallenge_872633,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6496,,,,
ICTVTaxoChallenge_873647,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7087,,,,
ICTVTaxoChallenge_875757,,,,,,,,,,,,,,,,,,,,,,,,,Paopuvirus,0.9498,,,,
ICTVTaxoChallenge_942622,,,,,,,,,,,,,,,,,,,,,,,,,Phifelvirus,0.9644,,,,
ICTVTaxoChallenge_943561,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6106,,,,
ICTVTaxoChallenge_948281,,,,,,,,,,,,,,,,,,,,,,,,,Casadabanvirus,0.6989,,,,
ICTVTaxoChallenge_949086,,,,,,,,,,,,,,,,,,,,,,,,,Copernicusvirus,0.9454,,,,
ICTVTaxoChallenge_951026,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.5938,,,,
ICTVTaxoChallenge_951221,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.5223,,,,
ICTVTaxoChallenge_951634,,,,,,,,,,,,,,,,,,,,,,,,,Nymphadoravirus,0.6461,,,,
ICTVTaxoChallenge_956158,,,,,,,,,,,,,,,,,,,,,,,,,Pleeduovirus,0.9614,,,,
ICTVTaxoChallenge_711587,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6292,,,,
ICTVTaxoChallenge_712100,,,,,,,,,,,,,,,,,,,,,,,,,Alexandravirus,0.7015,,,,
ICTVTaxoChallenge_714674,,,,,,,,,,,,,,,,,,,,,,,,,Nymphadoravirus,0.6576,,,,
ICTVTaxoChallenge_715831,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7641,,,,
ICTVTaxoChallenge_721466,,,,,,,,,,,,,,,,,,,,,,,,,Polybotosvirus,0.5726,,,,
ICTVTaxoChallenge_726302,,,,,,,,,,,,,,,,,,,,,,,,,Casadabanvirus,0.8268,,,,
ICTVTaxoChallenge_727407,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.6021,,,,
ICTVTaxoChallenge_505780,,,,,,,,,,,,,,,,,,,,,,,,,Manuelvirus,0.947,,,,
ICTVTaxoChallenge_508665,,,,,,,,,,,,,,,,,,,,,,,,,Delislevirus,0.9279,,,,
ICTVTaxoChallenge_516331,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6477,,,,
ICTVTaxoChallenge_518937,,,,,,,,,,,,,,,,,,,,,,,,,Skunavirus,0.9684,,,,
ICTVTaxoChallenge_519321,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.5952,,,,
ICTVTaxoChallenge_519704,,,,,,,,,,,,,,,,,,,,,,,,,Yangvirus,0.5641,,,,
ICTVTaxoChallenge_521139,,,,,,,,,,,,,,,,,,,,,,,,,Litunavirus,0.8222,,,,
ICTVTaxoChallenge_485079,,,,,,,,,,,,,,,,,,,,,,,,,Attisvirus,0.6259,,,,
ICTVTaxoChallenge_488428,,,,,,,,,,,,,,,,,,,,,,,,,Kuravirus,0.8271,,,,
ICTVTaxoChallenge_490848,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6643,,,,
ICTVTaxoChallenge_495318,,,,,,,,,,,,,,,,,,,,,,,,,Lillamyvirus,0.9553,,,,
ICTVTaxoChallenge_496414,,,,,,,,,,,,,,,,,,,,,,,,,Petsuvirus,0.6386,,,,
ICTVTaxoChallenge_497342,,,,,,,,,,,,,,,,,,,,,,,,,Brunovirus,0.9697,,,,
ICTVTaxoChallenge_50290,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.6052,,,,
ICTVTaxoChallenge_375177,,,,,,,,,,,,,,,,,,,,,,,,,Polybotosvirus,0.5339,,,,
ICTVTaxoChallenge_38050,,,,,,,,,,,,,,,,,,,,,,,,,Petsuvirus,0.5272,,,,
ICTVTaxoChallenge_381293,,,,,,,,,,,,,,,,,,,,,,,,,Tidunavirus,0.5308,,,,
ICTVTaxoChallenge_382157,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7023,,,,
ICTVTaxoChallenge_382484,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6147,,,,
ICTVTaxoChallenge_384995,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7801,,,,
ICTVTaxoChallenge_392141,,,,,,,,,,,,,,,,,,,,,,,,,Gaprivervirus,0.8369,,,,
ICTVTaxoChallenge_577175,,,,,,,,,,,,,,,,,,,,,,,,,Paopuvirus,0.923,,,,
ICTVTaxoChallenge_585597,,,,,,,,,,,,,,,,,,,,,,,,,Epseptimavirus,0.7697,,,,
ICTVTaxoChallenge_590727,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.6894,,,,
ICTVTaxoChallenge_312766,,,,,,,,,,,,,,,,,,,,,,,,,Mudcatvirus,0.7734,,,,
ICTVTaxoChallenge_313627,,,,,,,,,,,,,,,,,,,,,,,,,Manhattanvirus,0.5387,,,,
ICTVTaxoChallenge_316432,,,,,,,,,,,,,,,,,,,,,,,,,Paopuvirus,0.947,,,,
ICTVTaxoChallenge_317910,,,,,,,,,,,,,,,,,,,,,,,,,Casadabanvirus,0.6359,,,,
ICTVTaxoChallenge_834413,,,,,,,,,,,,,,,,,,,,,,,,,Kanagawavirus,0.8647,,,,
ICTVTaxoChallenge_837542,,,,,,,,,,,,,,,,,,,,,,,,,Phikzvirus,0.557,,,,
ICTVTaxoChallenge_838031,,,,,,,,,,,,,,,,,,,,,,,,,Avanivirus,0.9686,,,,
ICTVTaxoChallenge_838430,,,,,,,,,,,,,,,,,,,,,,,,,Cheoctovirus,0.9687,,,,
ICTVTaxoChallenge_840703,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.68,,,,
ICTVTaxoChallenge_845064,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.8071,,,,
ICTVTaxoChallenge_847736,,,,,,,,,,,,,,,,,,,,,,,,,Eyrevirus,0.9643,,,,
ICTVTaxoChallenge_848282,,,,,,,,,,,,,,,,,,,,,,,,,Brucesealvirus,0.9407,,,,
ICTVTaxoChallenge_850392,,,,,,,,,,,,,,,,,,,,,,,,,Tequatrovirus,0.9697,,,,
ICTVTaxoChallenge_85223,,,,,,,,,,,,,,,,,,,,,,,,,Cheoctovirus,0.9679,,,,
ICTVTaxoChallenge_85259,,,,,,,,,,,,,,,,,,,,,,,,,Gamaleyavirus,0.5555,,,,
ICTVTaxoChallenge_853462,,,,,,,,,,,,,,,,,,,,,,,,,Carmenvirus,0.9696,,,,
ICTVTaxoChallenge_641407,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6013,,,,
ICTVTaxoChallenge_642130,,,,,,,,,,,,,,,,,,,,,,,,,Drulisvirus,0.9692,,,,
ICTVTaxoChallenge_649180,,,,,,,,,,,,,,,,,,,,,,,,,Yangvirus,0.5334,,,,
ICTVTaxoChallenge_654376,,,,,,,,,,,,,,,,,,,,,,,,,Pleetrevirus,0.9537,,,,
ICTVTaxoChallenge_65455,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.5562,,,,
ICTVTaxoChallenge_655489,,,,,,,,,,,,,,,,,,,,,,,,,Peduovirus,0.8409,,,,
ICTVTaxoChallenge_658121,,,,,,,,,,,,,,,,,,,,,,,,,Cheoctovirus,0.9676,,,,
ICTVTaxoChallenge_65861,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.8665,,,,
ICTVTaxoChallenge_660206,,,,,,,,,,,,,,,,,,,,,,,,,Polybotosvirus,0.5583,,,,
ICTVTaxoChallenge_237357,,,,,,,,,,,,,,,,,,,,,,,,,Kagunavirus,0.963,,,,
ICTVTaxoChallenge_237650,,,,,,,,,,,,,,,,,,,,,,,,,Yoloswagvirus,0.5268,,,,
ICTVTaxoChallenge_240496,,,,,,,,,,,,,,,,,,,,,,,,,Polybotosvirus,0.5901,,,,
ICTVTaxoChallenge_240775,,,,,,,,,,,,,,,,,,,,,,,,,Mudcatvirus,0.8916,,,,
ICTVTaxoChallenge_244011,,,,,,,,,,,,,,,,,,,,,,,,,Andhravirus,0.9485,,,,
ICTVTaxoChallenge_24623,,,,,,,,,,,,,,,,,,,,,,,,,Nymphadoravirus,0.8203,,,,
ICTVTaxoChallenge_246605,,,,,,,,,,,,,,,,,,,,,,,,,Paopuvirus,0.9636,,,,
ICTVTaxoChallenge_249270,,,,,,,,,,,,,,,,,,,,,,,,,Andhravirus,0.8812,,,,
ICTVTaxoChallenge_249954,,,,,,,,,,,,,,,,,,,,,,,,,Petsuvirus,0.5634,,,,
ICTVTaxoChallenge_251541,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6729,,,,
ICTVTaxoChallenge_253055,,,,,,,,,,,,,,,,,,,,,,,,,Yangvirus,0.5267,,,,
ICTVTaxoChallenge_977446,,,,,,,,,,,,,,,,,,,,,,,,,Attisvirus,0.5415,,,,
ICTVTaxoChallenge_977760,,,,,,,,,,,,,,,,,,,,,,,,,Paopuvirus,0.937,,,,
ICTVTaxoChallenge_979321,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6605,,,,
ICTVTaxoChallenge_979927,,,,,,,,,,,,,,,,,,,,,,,,,Pagevirus,0.9512,,,,
ICTVTaxoChallenge_982758,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.7655,,,,
ICTVTaxoChallenge_983582,,,,,,,,,,,,,,,,,,,,,,,,,Paopuvirus,0.9361,,,,
ICTVTaxoChallenge_984709,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.7053,,,,
ICTVTaxoChallenge_985423,,,,,,,,,,,,,,,,,,,,,,,,,Pokkenvirus,0.6103,,,,
ICTVTaxoChallenge_987319,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.5944,,,,
ICTVTaxoChallenge_990463,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.5668,,,,
ICTVTaxoChallenge_994079,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6773,,,,
ICTVTaxoChallenge_998856,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.6274,,,,
ICTVTaxoChallenge_197131,,,,,,,,,,,,,,,,,,,,,,,,,Anayavirus,0.9674,,,,
ICTVTaxoChallenge_199346,,,,,,,,,,,,,,,,,,,,,,,,,Kisquattuordecimvirus,0.97,,,,
ICTVTaxoChallenge_199740,,,,,,,,,,,,,,,,,,,,,,,,,Casadabanvirus,0.8341,,,,
ICTVTaxoChallenge_203685,,,,,,,,,,,,,,,,,,,,,,,,,Fattrevirus,0.9662,,,,
ICTVTaxoChallenge_207271,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7053,,,,
ICTVTaxoChallenge_209399,,,,,,,,,,,,,,,,,,,,,,,,,Kamchatkavirus,0.9692,,,,
ICTVTaxoChallenge_210598,,,,,,,,,,,,,,,,,,,,,,,,,Littlefixvirus,0.6285,,,,
ICTVTaxoChallenge_211948,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.8199,,,,
ICTVTaxoChallenge_885129,,,,,,,,,,,,,,,,,,,,,,,,,Sandinevirus,0.9629,,,,
ICTVTaxoChallenge_885284,,,,,,,,,,,,,,,,,,,,,,,,,Unaquatrovirus,0.9658,,,,
ICTVTaxoChallenge_885574,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6506,,,,
ICTVTaxoChallenge_887314,,,,,,,,,,,,,,,,,,,,,,,,,Phietavirus,0.9694,,,,
ICTVTaxoChallenge_888272,,,,,,,,,,,,,,,,,,,,,,,,,Mudcatvirus,0.7677,,,,
ICTVTaxoChallenge_894118,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.5574,,,,
ICTVTaxoChallenge_898869,,,,,,,,,,,,,,,,,,,,,,,,,Litunavirus,0.8023,,,,
ICTVTaxoChallenge_89900,,,,,,,,,,,,,,,,,,,,,,,,,Kuravirus,0.7295,,,,
ICTVTaxoChallenge_528765,,,,,,,,,,,,,,,,,,,,,,,,,Newforgelanevirus,0.968,,,,
ICTVTaxoChallenge_528890,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7279,,,,
ICTVTaxoChallenge_531048,,,,,,,,,,,,,,,,,,,,,,,,,Mudcatvirus,0.7317,,,,
ICTVTaxoChallenge_534977,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.8141,,,,
ICTVTaxoChallenge_540636,,,,,,,,,,,,,,,,,,,,,,,,,Brucesealvirus,0.9407,,,,
ICTVTaxoChallenge_543133,,,,,,,,,,,,,,,,,,,,,,,,,Cheoctovirus,0.9631,,,,
ICTVTaxoChallenge_330124,,,,,,,,,,,,,,,,,,,,,,,,,Alexandravirus,0.6167,,,,
ICTVTaxoChallenge_331304,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.6013,,,,
ICTVTaxoChallenge_339597,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6638,,,,
ICTVTaxoChallenge_341527,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6345,,,,
ICTVTaxoChallenge_343550,,,,,,,,,,,,,,,,,,,,,,,,,Gamaleyavirus,0.7711,,,,
ICTVTaxoChallenge_345298,,,,,,,,,,,,,,,,,,,,,,,,,Cheoctovirus,0.9695,,,,
ICTVTaxoChallenge_345864,,,,,,,,,,,,,,,,,,,,,,,,,Cbunavirus,0.6529,,,,
ICTVTaxoChallenge_347749,,,,,,,,,,,,,,,,,,,,,,,,,Attisvirus,0.7195,,,,
ICTVTaxoChallenge_596825,,,,,,,,,,,,,,,,,,,,,,,,,Tigrvirus,0.8165,,,,
ICTVTaxoChallenge_596881,,,,,,,,,,,,,,,,,,,,,,,,,Pemunavirus,0.9653,,,,
ICTVTaxoChallenge_597146,,,,,,,,,,,,,,,,,,,,,,,,,Casadabanvirus,0.7429,,,,
ICTVTaxoChallenge_599094,,,,,,,,,,,,,,,,,,,,,,,,,Colunavirus,0.9473,,,,
ICTVTaxoChallenge_601365,,,,,,,,,,,,,,,,,,,,,,,,,Polybotosvirus,0.5167,,,,
ICTVTaxoChallenge_603932,,,,,,,,,,,,,,,,,,,,,,,,,Eganvirus,0.6314,,,,
ICTVTaxoChallenge_605611,,,,,,,,,,,,,,,,,,,,,,,,,Kuravirus,0.8353,,,,
ICTVTaxoChallenge_605834,,,,,,,,,,,,,,,,,,,,,,,,,Kuravirus,0.8437,,,,
ICTVTaxoChallenge_607006,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7287,,,,
ICTVTaxoChallenge_607165,,,,,,,,,,,,,,,,,,,,,,,,,Cheoctovirus,0.9692,,,,
ICTVTaxoChallenge_611123,,,,,,,,,,,,,,,,,,,,,,,,,Gibbetvirus,0.7045,,,,
ICTVTaxoChallenge_613218,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6518,,,,
ICTVTaxoChallenge_615395,,,,,,,,,,,,,,,,,,,,,,,,,Kokobelvirus,0.9708,,,,
ICTVTaxoChallenge_351757,,,,,,,,,,,,,,,,,,,,,,,,,Peduovirus,0.9577,,,,
ICTVTaxoChallenge_355638,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.608,,,,
ICTVTaxoChallenge_357767,,,,,,,,,,,,,,,,,,,,,,,,,Pbunavirus,0.9688,,,,
ICTVTaxoChallenge_361379,,,,,,,,,,,,,,,,,,,,,,,,,Teetrevirus,0.8338,,,,
ICTVTaxoChallenge_370978,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.7193,,,,
ICTVTaxoChallenge_372494,,,,,,,,,,,,,,,,,,,,,,,,,Kuravirus,0.7994,,,,
ICTVTaxoChallenge_924103,,,,,,,,,,,,,,,,,,,,,,,,,Paopuvirus,0.9495,,,,
ICTVTaxoChallenge_924851,,,,,,,,,,,,,,,,,,,,,,,,,Polybotosvirus,0.5819,,,,
ICTVTaxoChallenge_925173,,,,,,,,,,,,,,,,,,,,,,,,,Backyardiganvirus,0.9672,,,,
ICTVTaxoChallenge_925665,,,,,,,,,,,,,,,,,,,,,,,,,Godonkavirus,0.7928,,,,
ICTVTaxoChallenge_926358,,,,,,,,,,,,,,,,,,,,,,,,,Paopuvirus,0.965,,,,
ICTVTaxoChallenge_927905,,,,,,,,,,,,,,,,,,,,,,,,,Elemovirus,0.915,,,,
ICTVTaxoChallenge_931818,,,,,,,,,,,,,,,,,,,,,,,,,Cheoctovirus,0.9661,,,,
ICTVTaxoChallenge_934132,,,,,,,,,,,,,,,,,,,,,,,,,Brussowvirus,0.5489,,,,
ICTVTaxoChallenge_934850,,,,,,,,,,,,,,,,,,,,,,,,,Berlinvirus,0.7398,,,,
ICTVTaxoChallenge_937727,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.6821,,,,
ICTVTaxoChallenge_93827,,,,,,,,,,,,,,,,,,,,,,,,,Moineauvirus,0.5826,,,,
ICTVTaxoChallenge_938300,,,,,,,,,,,,,,,,,,,,,,,,,Petsuvirus,0.5531,,,,
ICTVTaxoChallenge_940388,,,,,,,,,,,,,,,,,,,,,,,,,Haifavirus,0.5393,,,,
ICTVTaxoChallenge_264966,,,,,,,,,,,,,,,,,,,,,,,,,Uetakevirus,0.9528,,,,
ICTVTaxoChallenge_265863,,,,,,,,,,,,,,,,,,,,,,,,,Alexandravirus,0.6666,,,,
ICTVTaxoChallenge_267966,,,,,,,,,,,,,,,,,,,,,,,,,Yangvirus,0.5463,,,,
